label,tweet,,,,,,,,,,,,,,,
1,@robbiebronniman Sounds like a great night. ,,,,,,,,,,,,,,,
1,Damn the person who stolde my wallet !!!!!  May karma come back and bite you in the ass.... ,,,,,,,,,,,,,,,
1,Greetings from the piano bench  (photo) http://twitpic.com/6oe8i,,,,,,,,,,,,,,,
1,@drewryanscott i love it!! i love you!! haha forget a hug...you should give me a kiss...no lie!! please it would be awesome if you did ,,,,,,,,,,,,,,,#NAME?
1,@lilyroseallen big pool or paddling pool?! might be able to manage a paddle pool in my surroundings but that's as luxury as it will get!! ,,,,,,,,,,,,,,,
1,"@arianna_skye  Hee!   I did tweet...  And you're 10,001!!! LOL ",,,,,,,,,,,,,,,
1,is happy to have Tickets for the Concerts ,,,,,,,,,,,,,,,
1,"@mileycyrus http://twitpic.com/78urd - Miley, u look soooo much better like this...  its soooo laid back!",,,,,,,,,,,,,,,
1,Shhhh...Quitely Now...Come See... I found a HOLE in the FENCE   http://bit.ly/s9pMO,,,,,,,,,,,,,,,
1,The Festï¿½s on ,,,,,,,,,,,,,,,
1,k finally made to the hammock and this is the innagual tweet YAHOOOOOOOOO  Peace and harmony.,,,,,,,,,,,,,,,
1,Singing a Duo with an Aussie Koala  www.marcopalli.com http://twitpic.com/68slg,,,,,,,,,,,,,,,
1,@zidman8 It was really nice meeting you too ,,,,,,,,,,,,,,,
1,Back at work but must eat first. Leftover Chinese is calling me ,,,,,,,,,,,,,,,
1,is getting ready for a fun day of laying out in the sun before the new schedule kicks in Sunday  ,,,,,,,,,,,,,,,
1,@EdMercer Very well said by Piaget ,,,,,,,,,,,,,,,
1,I'm packing to go home to Boston...Yay!!! ,,,,,,,,,,,,,,,
1,"@alroker hi Al, I'm near Lake George NY. Frost last night. Covered flowers &amp; veggie plants. June 1st &amp; frost happens. We're moving. ",,,,,,,,,,,,,,,
1,"summer ball amazing however feeling like death, sitting in bed with a cuppa watching the Office ",,,,,,,,,,,,,,,
1,@thehurricaneee  u look like a hot tamale ,,,,,,,,,,,,,,,
1,"@vicentemendoza agree  am still on ep10. oh well, i've heard about that suicide thingy too. that's sad. well, i ? yi jung-ga eul tandem!",,,,,,,,,,,,,,,
1,@princesita015 - London is one of the most amazing cities I have ever been to ,,,,,,,,,,,,,,,
1,Just left Brooklyn. Bumping the new Sarah White.  it soundz fly Don Cuco y Ms. Blanca. Goodluck en Espana!!,,,,,,,,,,,,,,,
1,about to watch saw iv and drink a lil wine ,,,,,,,,,,,,,,,
